GeneID,log2FC,Padj,Entrez_gene_ID,Uniprot,KEGG,GO_process,GO_function,Pfam,Full Name,EC,PROSITE
CICLE_v10000260mg,1.41810476702611,0.000701296592553003,18040789.0,"V4TF69, V4T552", cic:CICLE_v10000260mg -.,"plant-type cell wall IEA, apoplast IEA, carbohydrate metabolic process IEA","carbohydrate binding IEA, beta-galactosidase activity IEA"," PF21467 BetaGal_gal-bd 2.,  PF02140 SUEL_Lectin 1.,  PF01301 Glyco_hydro_35 1.,  PF17834 GHD 1.","beta-galactosidase {ECO:0000256|ARBA:ARBA00012756}, Beta-galactosidase {ECO:0000256|ARBA:ARBA00012756, ECO:0000256|RuleBase:RU000675}","3.2.1.23 {ECO:0000256|ARBA:ARBA00012756}, 3.2.1.23 {ECO:0000256|ARBA:ARBA00012756, ECO:0000256|RuleBase:RU000675}"," PS01182 GLYCOSYL_HYDROL_F35 1.,  PS50228 SUEL_LECTIN 1."
CICLE_v10000273mg,-1.0375319976731,0.0069688376827113,18040690.0,"V4T684, V4SWA1", cic:CICLE_v10000273mg -.,monoatomic ion channel complex IEA,voltage-gated potassium channel activity IEA," PF12796 Ank_2 2.,  PF11834 KHA 1.,  PF00520 Ion_trans 1.,  PF00027 cNMP_binding 1.",Potassium channel {ECO:0000256|RuleBase:RU369015},," PS51490 KHA 1.,  PS50088 ANK_REPEAT 2.,  PS50042 CNMP_BINDING_3 1.,  PS50297 ANK_REP_REGION 2."
CICLE_v10000281mg,0.882207976136037,0.0135673448126095,18042453.0,V4TEJ9, cic:CICLE_v10000281mg -.,defense response IEA,"ADP binding IEA, ATP binding IEA"," PF05659 RPW8 1.,  PF00931 NB-ARC 1.,  PF23598 LRR_14 1.",RPW8 domain-containing protein {ECO:0000259|PROSITE:PS51153},, PS51153 RPW8 1.
CICLE_v10000311mg,-0.883627158702531,0.0211162111031539,18042294.0,"V4T7U7, V4SIL3", cic:CICLE_v10000311mg -.,"membrane IEA, methylation IEA, endosome IEA, trans-Golgi network IEA",methyltransferase activity IEA, PF03141 Methyltransf_29 1.,"Methyltransferase {ECO:0000256|RuleBase:RU366043}, Methyltransferase {ECO:0008006|Google:ProtNLM}",2.1.1.- {ECO:0000256|RuleBase:RU366043},
CICLE_v10000316mg,-0.923241628092212,0.0148152417146906,,V4T5R9, cic:CICLE_v10000316mg -.,,phosphorelay sensor kinase activity IEA," PF00512 HisKA 1.,  PF02518 HATPase_c 1.,  PF00072 Response_reg 1.",histidine kinase {ECO:0000256|ARBA:ARBA00012438},2.7.13.3 {ECO:0000256|ARBA:ARBA00012438}," PS50110 RESPONSE_REGULATORY 1.,  PS50109 HIS_KIN 1."
CICLE_v10000323mg,1.15724318898555,0.0039701533486904,18040756.0,V4SF29, cic:CICLE_v10000323mg -.,defense response IEA,"ADP binding IEA, ATP binding IEA", PF00931 NB-ARC 1.,AAA+ ATPase domain-containing protein {ECO:0000259|SMART:SM00382},,
CICLE_v10000331mg,0.743058967861312,0.0427063520026499,,V4SZH0, cic:CICLE_v10000331mg -.,defense response IEA,"ADP binding IEA, ATP binding IEA", PF00931 NB-ARC 1.,NB-ARC domain-containing protein {ECO:0000259|Pfam:PF00931},,
CICLE_v10000363mg,-0.874478410562887,0.006930611616334,18040203.0,V4V4K4, cic:CICLE_v10000363mg -.,"extracellular region IEA, proteolysis IEA, system development IEA",serine-type endopeptidase activity IEA," PF05922 Inhibitor_I9 1.,  PF17766 fn3_6 1.,  PF02225 PA 1.,  PF00082 Peptidase_S8 1.",Subtilisin-like protease SBT1.7 {ECO:0008006|Google:ProtNLM},," PS51892 SUBTILASE 1.,  PS00138 SUBTILASE_SER 1."
CICLE_v10000395mg,0.983520111155456,0.0163842332724657,18041101.0,V4V738, cic:CICLE_v10000395mg -.,"exocyst IEA, exocyst localization IEA, exocytosis IEA",SNARE binding IEA, PF06046 Sec6 1.,,,
CICLE_v10000407mg,-1.28318073383199,0.000164771320495926,18042498.0,"V4TEW7, V4T9M8, V4V7W9", cic:CICLE_v10000407mg -.,"cytoplasm IEA, clathrin coat disassembly IEA, vesicle IEA, clathrin-dependent endocytosis IEA",clathrin binding IEA,,J domain-containing protein {ECO:0008006|Google:ProtNLM},,
CICLE_v10000412mg,-0.809846705937131,0.0344967007503598,18040295.0,V4V1X8, cic:CICLE_v10000412mg -.,"plasma membrane IEA, detection of mechanical stimulus IEA, monoatomic anion transport IEA",mechanosensitive monoatomic ion channel activity IEA, PF00924 MS_channel_2nd 1.,Mechanosensitive ion channel protein {ECO:0000256|PIRNR:PIRNR017209},,
CICLE_v10000444mg,1.56990258756855,0.012399590330832,18042514.0,V4SYZ4, cic:CICLE_v10000444mg -.,plasma membrane IEA,urea transmembrane transporter activity IEA, PF00474 SSF 1.,Urea-proton symporter DUR3 {ECO:0000256|ARBA:ARBA00072203},, PS50283 NA_SOLUT_SYMP_3 1.
CICLE_v10000464mg,2.63269320232437,0.002659433200162,18042482.0,V4SVR2, cic:CICLE_v10000464mg -.,"cell surface receptor signaling pathway IEA, plasma membrane IEA","protein serine/threonine kinase activity IEA, calcium ion binding IEA, ATP binding IEA, polysaccharide binding IEA"," PF08488 WAK 1.,  PF07645 EGF_CA 1.,  PF13947 GUB_WAK_bind 1.,  PF07714 PK_Tyr_Ser-Thr 1.",Protein kinase domain-containing protein {ECO:0000259|PROSITE:PS50011},," PS50011 PROTEIN_KINASE_DOM 1.,  PS01187 EGF_CA 1.,  PS00108 PROTEIN_KINASE_ST 1."
CICLE_v10000465mg,-1.44183794571375,0.0073140729664021,18040360.0,V4T6I6, cic:CICLE_v10000465mg -.,"monoatomic ion transmembrane transport IEA, membrane IEA",," PF24956 Msl2-3_C 1.,  PF00924 MS_channel_2nd 1.,  PF25237 MSL2_3 1.",Mechanosensitive ion channel protein {ECO:0008006|Google:ProtNLM},,
